Device Name,Model,SSID,Agent Version,Serial Number,OS Version,Group Path,OS Build Number,Application Package,Application Name,Application Version 
UK-BOS-XT3-0631,XT3,TMEVENTS,28.579999999999998,2307310577,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0631,XT3,TMEVENTS,28.579999999999998,2307310577,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
UK-BOS-XT3-0632,XT3,PIXAR-Retail,28.59,2307410251,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.18.2 (2692)
UK-BOS-XT3-0632,XT3,PIXAR-Retail,28.59,2307410251,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0633,XT3,PIXAR-Retail,28.59,2307410163,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0634,XT3,PIXAR-Retail,28.59,2204910092,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.18.2 (2692)
UK-BOS-XT3-0634,XT3,PIXAR-Retail,28.59,2204910092,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0635,XT3,TMEVENTS,28.57,2307410247,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/1 - Scanner Stock/BOS Build 2026/XT3/Completed,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0636,XT3,PIXAR-Retail,28.59,2307310529,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0636,XT3,PIXAR-Retail,28.59,2307310529,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.5-enterprise (310030705)
UK-BOS-XT3-0637,XT3,PIXAR-Retail,28.59,2307510105,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0638,XT3,PIXAR-Retail,28.59,2307410124,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0639,XT3,PIXAR-Retail,28.59,2307410159,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0639,XT3,PIXAR-Retail,28.59,2307410159,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0640,XT3,PIXAR-Retail,28.59,2307410215,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster Clubs/Universe Venues/Pixar Mundo,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.18.2 (2692)
